chats,toxic
ебать опомнился,-1
пиздец,-1
мне бы блять бакалавр окончить и съебать,-1
я даже не ебал что существует докторантура,-1
бля я бы подушнил,-1
да бля,-1
втроем сука сидим,-1
бля,-1
пиздец а не пара,-1
бля,-1
ты,-1
давайте вместе хуй забьем,-1
пипец сосед мудак,-1
бля ну чем надеяться на что то в пизду я другой возьму нахуй оно надо,-1
бля я тоже про неё сделала,-1
бля,-1
так лекция же какая нахуй домашка,-1
заебали,-1
я видосик по регулрке смотрю оказывается всё так просто блять,-1
ебать что нашёл в галерее,-1
бля рил,-1
ну это вообще пиздец был,-1
ебаный рот,-1
бля,-1
бля,-1
иди иди,-1
ну бля реально,-1
и ты,-1
бля,-1
бля презентацию забыла,-1
блять,-1
бля матан надо сделать емае,-1
бля тоже надо сходить же,-1
а бля,-1
а ты устанавливала джанго,-1
ебать,-1
я тоже думала отрезать,-1
блять,-1
 а ты,-1
пизда,-1
а бля точно сменка,-1
ахахахах пиздец,-1
вот бля а я погуглила там за берут,-1
пизда,-1
ебать война,-1
ебаный рот,-1
что блять сейчас не так,-1
да пиздец,-1
пиздец ничего не понимаю,-1
пиздец я трафарет взвхвхв,-1
да блять,-1
бля я думал все намного сложнее,-1
все я злая на эту пизду,-1
пиздец ахахах нельзя в пайчарме работать,-1
хуйня получается,-1
всм блять что,-1
пиздец даже цор отказывается дз принимать по проге,-1
ебать,-1
какая нахуй неделя,-1
че блять,-1
блять че за пиздец,-1
бля аа можно не делать эту парашу,-1
а ты,-1
ура я физру делала суки,-1
пиздец,-1
бля алкаш доебался,-1
сука,-1
лан хуй с ним с англом напишете если вдруг начнется,-1
бля куда идти ахахах,-1
бля так хочется кушать,-1
ебаный документооборот,-1
бля ладно,-1
а преподы у нас хорошие даже те которые говно,-1
вот я на курсе забила хуй на все кроме бд и андроида и все круто классно,-1
если не забивать хуй и учиться вщ крутыми будете,-1
пиздец,-1
бля ты реально на линуксе,-1
удали нахуй всё ошибок тоже не будет,-1
ля я думал уже страница а хуй там отсчет с интро только на ,-1
бля,-1
блять у меня нет папки что за пиздец,-1
а бля,-1
я не могу ахаха какой пиздец,-1
чего блять она говорит,-1
я там хуйню сделал,-1
бля,-1
я ниче не понимаю ахахаах пиздец,-1
пиздец,-1
бля,-1
бля,-1
ебать,-1
бля мы же учимся сегодня,-1
бля,-1
сука,-1
бля хз,-1
блять автобус едет как улитка,-1
пиздец,-1
бля ща загрузит,-1
бля реально,-1
пиздец угар,-1
я тест прохожу какой нахуй англ,-1
скажи что интернет пиздец,-1
ебут,-1
бля вопросы конечно пиздец,-1
ахахаха бля,-1
значит откат пиздец,-1
бля,-1
ох ебать,-1
и я ещё хуй знает но по моему она с нами не поделилась своими контактами,-1
пиздец,-1
тогда хуй знает,-1
пиздец команду набрали,-1
блять какое доброе,-1
а вот хуй знает,-1
так бля я его называю фотомаф,-1
бля,-1
пиздец ноут взлетает,-1
пиздец вы везучие,-1
а я инвестировал в говно и у меня ,-1
ебать качество шакальное,-1
ебать рустамчик наваливает сидит,-1
и ты ,-1
бля какие проекты вообще,-1
хуя,-1
забей один хуй не работает,-1
инвестируем в говно,-1
бля я понял у с группы видимо не будет ничего,-1
я прошу прощения хуй можно забить,-1
ты не тупой,-1
а бля,-1
это полная жопа,-1
это пиздец,-1
охуеть там блять ярослав есть,-1
сука,-1
это жопа,-1
бля кста рил,-1
ебать,-1
пизда я на лифте не поднимусь походу,-1
кайфово когда тебя ос в жопу ебет а потом на пару секунд вы меняетесь местами,-1
бля ребят интернет пиздец какой то,-1
бля почему надо разговаривать,-1
я я отчисляюсь нахуй она не может на мой вопрос минут ответить,-1
бля ты когда выпьешь тоже такой душный или нет,-1
блять реально разговоры не о чем,-1
влада нахуй,-1
блять,-1
бля ребят,-1
бля а че с англом то,-1
мы идем нахуй,-1
бля,-1
бля,-1
бля они поменяли,-1
да блять,-1
ебать он гений,-1
ебать я ща только понял как на серваки надо было загружать проекты,-1
бля ладно,-1
пиздец,-1
це пиздец,-1
бля ребят,-1
бля,-1
ещё минут бля,-1
ебанутый чтоли,-1
я чё еблан,-1
а тут ещё и пиздец такой,-1
бля кайф,-1
это пиздец,-1
ебать мы тут кайфуем,-1
она пиздец как интересно рассказывает,-1
бля мне так только что окно открыли,-1
ебать,-1
да бля,-1
ты картинок не испугайся этих,-1
блять у меня сосед сверлит,-1
ахаххаха пиздец,-1
какого хуя,-1
пизда с,-1
ну я хуй знает,-1
ты бля,-1
а бля реально у нас физра до ,-1
ну бля всм первее всех пар,-1
бля,-1
бля что это хахаха точка и скобка,-1
хуя,-1
бля реально,-1
да и если бы она была не пустая я бы и стрелять не стал,-1
да бля,-1
бля,-1
иди в уникс,-1
ебать,-1
бля,-1
бля,-1
пиздец,-1
бля,-1
да ну нахуй,-1
блять извиняюсь,-1
можешь не честно сделать и бибу сосать с англичанами,-1
если пофиксят то мне жопа,-1
пиздец какая я старая оказывается,-1
